name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Portal,Valve,10th Oct 07,All,,,,,
Red Dead Redemption 2,Rockstar Games,26th Oct 18,PS4,13.94m,5.26m,6.21m,0.21m,2.26m
Call of Duty: Black Ops II,Treyarch,13th Nov 12,X360,13.86m,8.27m,4.32m,0.07m,1.20m
Call of Duty: Black Ops II,Treyarch,13th Nov 12,PS3,13.80m,4.99m,5.88m,0.65m,2.28m
Fire Emblem,Intelligent Systems,03rd Nov 03,Series,,,,,
Call of Duty: Modern Warfare 2,Infinity Ward,10th Nov 09,X360,13.53m,8.54m,3.63m,0.08m,1.28m
Guild Wars,ArenaNet,26th Apr 05,Series,,,,,
Resident Evil 5,Capcom,13th Mar 09,All,,,,,
New Super Mario Bros. 2,Nintendo,19th Aug 12,3DS,11.33m,3.95m,4.07m,2.59m,0.72m
Call of Duty: WWII,Sledgehammer Games,03rd Nov 17,PS4,13.40m,4.67m,6.21m,0.40m,2.12m
Dragon Ball Xenoverse,Dimps Corporation,24th Feb 15,Series,,,,,
Call of Duty: Modern Warfare 3,Infinity Ward,08th Nov 11,PS3,13.35m,5.54m,5.78m,0.49m,1.54m
Paper Mario,Intelligent Systems,05th Feb 01,Series,,,,,
Super Smash Bros. Brawl,Project Sora,09th Mar 08,Wii,12.91m,6.64m,2.57m,2.67m,1.03m
Splatoon 2,Nintendo EPD,21st Jul 17,NS,7.04m,1.90m,1.80m,3.01m,0.34m
Rock Band,Harmonix,20th Nov 07,Series,,,,,
Grand Theft Auto III,DMA Design,23rd Oct 01,PS2,13.10m,6.99m,4.51m,0.30m,1.30m
Portal 2,Valve Software,19th Apr 11,PC,0.75m,0.33m,0.33m,,0.10m
Animal Crossing: New Leaf,Nintendo EAD,09th Jun 13,3DS,10.90m,2.46m,3.06m,4.90m,0.48m
ARMA,Bohemia Interactive,04th May 07,Series,,,,,
Minecraft,Mojang,04th Jun 13,X360,9.82m,5.96m,2.94m,0.02m,0.90m
Scribblenauts,5th Cell,15th Sep 09,Series,,,,,
Stardew Valley,ConcernedApe,26th Feb 16,PC,,,,,
Super Mario 3D Land,Nintendo EAD Tokyo,13th Nov 11,3DS,11.56m,5.10m,3.46m,2.15m,0.85m
Super Mario Galaxy,Nintendo EAD Tokyo,12th Nov 07,Wii,11.40m,6.06m,3.38m,1.20m,0.76m
Pokémon Heart Gold / Soul Silver Version,Game Freak,14th Mar 10,DS,11.78m,4.34m,2.72m,3.96m,0.76m
Call of Duty: Black Ops,Treyarch,09th Nov 10,PS3,12.67m,6.01m,4.40m,0.48m,1.78m
Grand Theft Auto V,Rockstar North,14th Apr 15,PC,1.33m,0.48m,0.76m,,0.10m
Fable,Big Blue Box,14th Sep 04,Series,,,,,
Batman: Arkham City,Rocksteady Studios,18th Oct 11,All,,,,,
Myst,"Cyan, Inc.",24th Sep 93,Series,,,,,
Rust,Facepunch Studios,08th Feb 18,All,,,,,
Luigi's Mansion 3,"Next Level Games, Inc.",31st Oct 19,NS,,,,,
The Witcher 3: Wild Hunt,CD Projekt Red Studio,19th May 15,PS4,5.39m,1.48m,2.82m,0.28m,0.81m
Resident Evil 4,Capcom,11th Jan 05,All,,,,,
Mario Golf,Nintendo,29th Sep 91,Series,,,,,
Mario & Luigi,AlphaDream,17th Nov 03,Series,,,,,
Metro,4a-games,16th Mar 10,Series,,,,,
Wario,Nintendo,13th Mar 94,Series,,,,,
7 Days to Die,The Fun Pimps,13th Dec 13,All,,,,,
Assassin's Creed III,Ubisoft Montreal,30th Oct 12,All,,,,,
Assetto Corsa,Kunos Simulazioni,19th Dec 14,All,,,,,
Bomberman,Hudson Soft,01st Jan 87,Series,,,,,
Cooking Mama,Cooking Mama Limited,12th Sep 06,Series,,,,,
Diablo III,Blizzard Entertainment,15th May 12,PC,5.26m,2.50m,2.23m,,0.53m
Half-Life 2,Valve Software,16th Nov 04,PC,2.37m,2.28m,0.02m,0.08m,
Jak and Daxter,Naughty Dog,03rd Dec 01,Series,,,,,
Left 4 Dead,Valve,17th Nov 08,Series,,,,,
Monster Hunter Rise,Capcom,26th Mar 21,All,,,,,
Mortal Kombat 11,NetherRealm Studios,23rd Apr 19,All,,,,,
NBA 2K19,Visual Concepts,11th Sep 18,All,,,,,
Pokémon FireRed / LeafGreen Version,Game Freak,07th Sep 04,GBA,10.49m,4.34m,2.65m,3.15m,0.35m
SOCOM,Zipper Interactive,27th Aug 02,Series,,,,,
World of Warcraft,Blizzard Entertainment,23rd Nov 04,PC,6.35m,0.12m,6.24m,,
Gran Turismo 5,Polyphony Digital,24th Nov 10,PS3,10.75m,2.96m,4.87m,0.81m,2.10m
Super Mario 64,Nintendo EAD,29th Sep 96,N64,11.89m,6.91m,2.85m,1.91m,0.23m
FIFA 18,EA Vancouver,29th Sep 17,PS4,11.80m,1.27m,8.64m,0.15m,1.73m
The Last of Us Remastered,Naughty Dog,29th Jul 14,PS4,6.77m,2.70m,2.86m,0.11m,1.10m
Gran Turismo 4,Polyphony Digital,22nd Feb 05,PS2,11.66m,3.01m,0.01m,1.10m,7.53m
Animal Crossing: Wild World,Nintendo EAD,05th Dec 05,DS,12.14m,2.50m,3.46m,5.33m,0.86m
Resident Evil 7,Capcom,24th Jan 17,All,,,,,
The Room,Fireproof Games,01st Sep 12,Series,,,,,
Max Payne,Remedy Entertainment,23rd Jul 01,Series,,,,,
Taiko no Tatsujin,Bandai Namco Studios,26th Oct 04,Series,,,,,
Dragon Age,BioWare,03rd Nov 09,Series,,,,,
Resident Evil 2 (2019),Capcom,25th Jan 19,All,,,,,
Super Mario Land 2: 6 Golden Coins,Nintendo R&D1,02nd Nov 92,GB,11.18m,6.16m,2.04m,2.69m,0.29m
Wii Party,NDcube,03rd Oct 10,Series,,,,,
Grand Theft Auto IV,Rockstar North,29th Apr 08,X360,11.09m,6.80m,3.11m,0.14m,1.04m
Big Brain Academy,Nintendo,05th Jun 06,Series,,,,,
Super Mario 64 DS,Nintendo EAD,20th Nov 04,DS,1.26m,0.01m,0.00m,1.25m,
Super Mario 64 DS,Nintendo EAD,20th Nov 04,DS,10.32m,5.01m,3.08m,1.25m,0.97m
BioShock Infinite,Irrational Games,26th Mar 13,All,,,,,
Civilization VI,Firaxis Games,21st Oct 16,All,,,,,
Dance Dance Revolution,Konami,26th Sep 98,Series,,,,,
Fall Guys: Ultimate Knockout,Mediatonic,04th Aug 20,PC,,,,,
God of War: Ragnarök,Sony Computer Entertainment,09th Nov 22,All,,,,,
Lego Batman: The Videogame,TT Fusion,23rd Sep 08,All,,,,,
Mortal Kombat X,NetherRealm Studios,07th Apr 15,All,,,,,
NBA 2K21,Visual Concepts,04th Sep 20,All,,,,,
Need for Speed: Underground 2,EA Black Box,09th Nov 04,All,,,,,
Sniper: Ghost Warrior,CI Games,16th Oct 08,Series,,,,,
StarCraft,Blizzard Entertainment,01st Apr 98,PC,0.05m,0.00m,0.04m,,0.01m
Tomb Raider (2013),Crystal Dynamics,05th Mar 13,All,,,,,
FIFA 17,EA Canada,27th Sep 16,PS4,10.94m,1.26m,7.95m,0.12m,1.61m
Resident Evil 6,Capcom,02nd Oct 12,All,,,,,
Need for Speed: ProStreet,EA Black Box,14th Nov 07,All,,,,,
